code,tier,n,decided,wins,n_24mo,wins_24mo,bid_total,award_total,flow_yr,bid_24mo,award_24mo,gp_pct,avg_won,avg_lost,months_since_last_bid,flow_trend_12v12
GC-067,A,9,7,4,9,4,3090000,1140000,1550000,3090000,1140000,30.7,284000,553000,2.7,1.72
GC-068,E,2,2,0,0,0,739000,0,0,0,0,27.4,0,369000,34.6,0.00
GC-069,E,3,0,0,3,0,489000,0,244000,489000,0,25.0,0,0,0.1,
GC-070,E,3,3,0,3,0,1570000,0,787000,1570000,0,28.2,0,525000,22.3,0.00
GC-071,E,1,1,0,1,0,12900,0,6470,12900,0,38.8,0,12900,12.4,0.00
GC-072,B,5,5,4,5,4,490000,307000,245000,490000,307000,27.4,76700,183000,12.2,0.00
GC-073,E,3,3,0,0,0,725000,0,0,0,0,29.8,0,242000,28.9,0.00
GC-074,C,14,14,2,7,2,1160000,56700,378000,756000,56700,28.5,28300,91700,6.9,0.78
GC-075,C,11,11,0,11,0,3270000,0,1640000,3270000,0,25.7,0,297000,12.4,0.00
GC-076,F,6,6,0,0,0,115000,0,0,0,0,28.8,0,19200,41.7,0.00
GC-077,E,3,2,2,3,2,244000,16000,122000,244000,16000,27.5,8020,0,0.7,
GC-078,E,1,1,0,0,0,12800,0,0,0,0,27.4,0,12800,36.3,0.00
GC-079,C,109,92,8,65,7,27599999.999999996,1650000,7560000,15099999.999999998,1620000,22.7,206000,273000,0.0,0.54
GC-080,F,17,17,2,0,0,4980000,197000,0,0,0,29.9,98600,319000,34.4,0.00
GC-081,E,1,1,0,1,0,6810,0,3410,6810,0,27.4,0,6810,9.2,
GC-082,B,12,11,1,4,1,246000,26100,105000,209000,26100,32.4,26100,18500,1.8,0.20
GC-083,E,1,1,0,0,0,12000,0,0,0,0,34.1,0,12000,40.5,0.00
GC-084,D,6,6,0,2,0,318000,0,5520,11000,0,28.0,0,53000,12.4,0.00
GC-085,F,8,8,0,0,0,1610000,0,0,0,0,28.6,0,201000,28.0,0.00
GC-086,E,3,3,0,0,0,1640000,0,0,0,0,30.3,0,547000,41.0,0.00
GC-087,E,2,2,0,2,0,44100,0,22100,44100,0,26.6,0,22100,18.6,0.00
GC-088,E,1,0,0,1,0,94100,0,47100,94100,0,37.5,0,0,1.5,
GC-089,E,3,3,2,3,2,1170000,1130000,587000,1170000,1130000,28.8,565000,44300,9.6,
GC-090,E,2,2,0,2,0,52600,0,26300,52600,0,30.1,0,26300,22.8,0.00
GC-091,D,8,8,1,4,1,1360000,42900,79200,158000,42900,28.9,42900,189000,4.2,0.14
GC-092,D,24,24,1,6,1,8220000,108000,246000,492000,108000,41.8,108000,353000,10.8,0.08
GC-093,C,32,27,0,17,0,5500000,0,2120000,4240000,0,27.0,0,155000,0.4,0.66
GC-094,E,3,3,0,3,0,189000,0,94500,189000,0,27.2,0,63000,14.9,0.00
GC-095,E,3,3,0,0,0,858000,0,0,0,0,30.9,0,286000,41.3,0.00
GC-096,E,2,2,0,2,0,193000,0,96500,193000,0,28.0,0,96500,15.5,0.00
GC-097,C,48,43,5,34,3,4040000,79200,1340000,2680000,13100,34.6,15800,96500,4.6,0.16
GC-098,B,8,8,2,3,1,412000,61300,80100,160000,40300,33.0,30600,58400,21.2,0.00
GC-099,E,3,3,0,0,0,605000,0,0,0,0,33.9,0,202000,41.4,0.00
GC-100,C,48,42,0,35,0,3490000,0,1290000,2570000,0,29.2,0,70800,0.0,0.96
GC-101,D,7,5,0,7,0,405000,0,202000,405000,0,30.3,0,67600,0.3,0.36
GC-102,C,5,1,0,5,0,1330000,0,663000,1330000,0,27.8,0,443000,1.8,
GC-103,E,2,2,0,2,0,299000,0,150000,299000,0,27.6,0,150000,0.4,
GC-104,E,4,2,0,4,0,237000,0,119000,237000,0,25.3,0,42000,0.1,
GC-105,E,1,1,0,1,0,3500,0,1750,3500,0,28.9,0,3500,14.3,0.00
GC-106,E,1,1,0,1,0,375000,0,187000,375000,0,18.8,0,375000,1.3,
GC-107,E,3,3,0,0,0,40900,0,0,0,0,30.1,0,13600,26.1,0.00
GC-108,E,2,2,1,2,1,135000,40300,67500,135000,40300,32.4,40300,94700,22.0,0.00
GC-109,A,169,157,23,82,15,28899999.999999996,2600000,8500000,17000000,1070000,28.7,113000,175000,0.3,0.81
GC-110,E,4,4,0,4,0,598000,0,299000,598000,0,29.9,0,149000,2.0,1.86
GC-111,E,2,2,0,0,0,79900,0,0,0,0,29.0,0,39900,34.5,0.00
GC-112,A,19,19,2,6,1,4020000,914000,545000,1090000,565000,26.8,457000,183000,14.9,0.00
GC-113,E,3,3,2,3,2,144000,61500,72000,144000,61500,29.7,30700,82600,0.0,
GC-114,E,2,2,0,2,0,77600,0,38800,77600,0,27.3,0,38800,11.4,1.45
GC-115,E,1,1,1,1,1,6520,6520,3260,6520,6520,18.8,6520,0,23.5,0.00
GC-116,D,6,6,2,6,2,112000,1370,56100,112000,1370,28.9,686,27700,10.4,1.82
GC-117,C,16,15,5,10,5,2480000,108000,379000,759000,108000,42.1,21600,237000,0.3,0.31
GC-118,C,23,20,1,13,0,4170000,187000,1150000,2290000,0,27.4,187000,199000,0.2,0.40
GC-119,A,39,39,5,21,4,3040000,224000,639000,1280000,91700,39.0,44900,82900,10.2,0.40
GC-120,E,1,1,0,1,0,1820000,0,908000,1820000,0,41.6,0,1820000,20.0,0.00
GC-121,C,35,34,3,19,2,7280000,110000,980000,1960000,47400,33.6,36600,231000,0.2,2.28
GC-122,D,13,13,0,3,0,500000,0,80600,161000,0,28.1,0,38400,8.7,0.97
GC-123,C,87,70,6,52,3,13599999.999999998,727000,3880000,7760000,20400,28.2,121000,163000,0.0,1.09
GC-124,F,6,6,0,0,0,170000,0,0,0,0,30.7,0,28300,36.8,0.00
GC-125,E,2,2,0,0,0,35200,0,0,0,0,29.3,0,17600,26.7,0.00
GC-126,E,3,0,0,3,0,1480000,0,740000,1480000,0,27.8,0,0,0.9,
GC-127,E,4,4,0,4,0,157000,0,78500,157000,0,27.2,0,39300,3.8,
GC-128,E,1,1,0,1,0,87600,0,43800,87600,0,27.4,0,87600,11.5,
GC-129,E,3,3,0,0,0,79800,0,0,0,0,33.8,0,26600,42.6,0.00
GC-130,A,7,3,2,7,2,2020000,707000,1010000,2020000,707000,22.9,354000,69000,1.3,1.60
GC-131,C,133,124,12,92,5,32399999.999999996,608000,12599999.999999998,25199999.999999996,477000,38.8,50600,243000,0.0,1.53
GC-132,E,2,2,0,2,0,73400,0,36700,73400,0,29.7,0,36700,8.0,
GC-133,C,48,45,7,25,0,7530000,413000,2090000,4180000,0,29.7,59100,168000,0.1,1.30
GC-134,E,1,0,0,1,0,308000,0,154000,308000,0,25.0,0,0,1.1,
GC-135,E,1,1,0,1,0,97600,0,48800,97600,0,32.4,0,97600,9.9,
GC-136,E,2,2,0,2,0,39900,0,20000,39900,0,30.4,0,20000,9.7,
GC-137,E,3,0,0,3,0,285000,0,143000,285000,0,27.8,0,0,1.8,
GC-138,E,1,1,0,0,0,71900,0,0,0,0,29.6,0,71900,30.4,0.00
GC-139,C,28,25,1,15,1,3320000,20800,500000,1000000,20800,32.4,20800,130000,0.8,2.11
GC-140,E,4,2,0,4,0,671000,0,336000,671000,0,26.8,0,107000,2.7,
GC-141,D,5,5,0,1,0,843000,0,79300,159000,0,27.4,0,169000,5.6,
GC-142,E,2,2,1,2,1,39200,36100,19600,39200,36100,27.4,36100,3140,7.4,
GC-143,E,1,1,0,1,0,55300,0,27600,55300,0,25.0,0,55300,3.0,
GC-144,E,2,2,0,0,0,181000,0,0,0,0,32.5,0,90400,31.8,0.00
GC-145,D,6,0,0,6,0,258000,0,129000,258000,0,27.4,0,0,1.5,
GC-146,E,1,0,0,1,0,49600,0,24800,49600,0,27.5,0,0,0.7,
GC-147,E,1,1,0,0,0,3800,0,0,0,0,34.1,0,3800,39.9,0.00
GC-148,E,1,1,1,1,1,122,122,60.9,122,122,45.0,122,0,4.3,
GC-149,E,2,1,0,2,0,1030000,0,515000,1030000,0,25.0,0,313000,0.6,
GC-150,D,9,9,1,5,0,429000,4000,131000,263000,0,36.9,4000,53100,12.4,0.00
GC-151,E,2,2,0,2,0,1340000,0,669000,1340000,0,21.9,0,669000,22.3,0.00
GC-152,A,158,149,24,115,14,28599999.999999996,4110000,11300000,22600000,2010000,28.5,171000,181000,0.2,2.26
GC-153,E,4,4,0,1,0,233000,0,88600,177000,0,28.1,0,58200,16.6,0.00
GC-154,B,13,13,2,4,0,1450000,401000,167000,335000,0,30.1,201000,95200,11.0,0.24
GC-155,E,1,1,0,1,0,150000,0,75100,150000,0,28.9,0,150000,18.1,0.00
GC-156,E,2,2,2,2,2,53100,53100,26500,53100,53100,27.4,26500,0,13.5,0.00
GC-157,E,3,0,0,3,0,556000,0,278000,556000,0,29.7,0,0,0.4,
GC-158,D,9,7,0,6,0,1400000,0,333000,666000,0,27.6,0,160000,2.3,0.72
GC-159,E,1,1,0,1,0,24000,0,12000,24000,0,28.9,0,24000,23.2,0.00
GC-160,A,16,14,3,13,3,3390000,634000,1170000,2350000,634000,25.5,211000,242000,0.5,0.04
GC-161,E,2,2,0,2,0,770000,0,385000,770000,0,26.0,0,385000,12.2,0.00
GC-162,D,15,15,0,5,0,1560000,0,344000,687000,0,29.4,0,104000,5.5,0.57
GC-163,E,1,1,0,1,0,1950,0,976,1950,0,49.3,0,1950,16.6,0.00
GC-164,E,4,3,2,4,2,294000,87200,147000,294000,87200,30.4,43600,199000,1.1,
GC-165,E,2,2,0,0,0,28400,0,0,0,0,29.7,0,14200,35.6,0.00
GC-166,A,7,7,2,7,2,3130000,734000,1570000,3130000,734000,28.7,367000,480000,1.5,2.30
GC-167,A,8,7,4,8,4,1860000,967000,930000,1860000,967000,29.8,242000,292000,4.2,0.92
GC-168,E,1,1,0,1,0,26600,0,13300,26600,0,31.0,0,26600,8.6,
GC-169,F,6,6,0,0,0,343000,0,0,0,0,30.2,0,57200,32.7,0.00
GC-170,E,1,1,0,1,0,13400,0,6720,13400,0,32.4,0,13400,20.6,0.00
GC-171,D,5,4,0,5,0,367000,0,184000,367000,0,29.7,0,88900,0.2,0.80
GC-172,E,2,2,0,2,0,14900,0,7450,14900,0,26.5,0,7450,17.2,0.00
GC-173,E,4,4,0,0,0,1070000,0,0,0,0,28.6,0,267000,33.8,0.00
GC-174,E,4,4,3,0,0,14200,5620,0,0,0,32.8,1870,8550,36.8,0.00
GC-175,E,1,1,0,0,0,42600,0,0,0,0,30.3,0,42600,38.4,0.00
GC-176,E,3,3,0,3,0,70800,0,35400,70800,0,31.9,0,23600,3.0,0.64
GC-177,A,11,10,4,4,1,1200000,231000,428000,856000,116000,29.3,57900,156000,0.9,0.04
GC-178,A,15,14,2,8,0,2370000,178000,524000,1050000,0,27.9,88800,175000,2.7,0.27
GC-179,E,1,1,0,1,0,5380,0,2690,5380,0,41.3,0,5380,5.5,
GC-180,D,5,5,0,1,0,436000,0,29200,58300,0,30.3,0,87100,20.6,0.00
GC-181,C,70,67,4,29,3,21300000,1200000,3910000,7820000,1070000,30.9,301000,315000,0.6,0.76
GC-182,C,85,78,5,64,5,19500000,420000,5760000,11499999.999999998,420000,30.0,84100,233000,0.2,0.58
GC-183,E,1,1,0,1,0,197000,0,98700,197000,0,25.0,0,197000,13.1,0.00
GC-184,E,1,0,0,1,0,316000,0,158000,316000,0,27.5,0,0,4.2,
GC-185,C,13,3,0,13,0,4360000,0,2180000,4360000,0,21.8,0,269000,0.3,
GC-186,B,9,9,1,9,1,377000,68700,188000,377000,68700,27.4,68700,38500,7.7,0.24
